"","accuracy_delta","accuracy_derived","accuracy_original","feature","class","general.attrtoinst","general.cattonum","general.freqclass.mean","general.freqclass.sd","general.insttoattr","general.nrattr","general.nrbin","general.nrcat","general.nrclass","general.nrinst","general.nrnum","general.numtocat"
"Mg_div_Al",-1.80030114812723,74.0525440742832,75.8528452224104,"Mg_div_Al",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Mg_diff_Ca",-1.80434782608694,74.0484973963235,75.8528452224104,"Mg_diff_Ca",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Si_diff_Ca",-1.80434782608694,74.0484973963235,75.8528452224104,"Si_diff_Ca",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Ca_sum_Ba",-1.80434782608694,74.0484973963235,75.8528452224104,"Ca_sum_Ba",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Mg_mult_Al",-1.80434782608694,74.0484973963235,75.8528452224104,"Mg_mult_Al",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Ba_div_Fe",-1.80434782608695,74.0484973963235,75.8528452224104,"Ba_div_Fe",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Al_sum_Ca",-1.82599284773197,74.0268523746785,75.8528452224104,"Al_sum_Ca",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Al_sum_K",-1.82599284773197,74.0268523746785,75.8528452224104,"Al_sum_K",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"RI_div_Mg",-1.82815734989649,74.024687872514,75.8528452224104,"RI_div_Mg",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"K_div_Fe",-1.84575569358178,74.0070895288287,75.8528452224104,"K_div_Fe",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Al_sum_Si",-1.84575569358178,74.0070895288287,75.8528452224104,"Al_sum_Si",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Mg_mult_K",-2.17391304347825,73.6789321789322,75.8528452224104,"Mg_mult_K",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Si_sum_Ba",-2.19367588932806,73.6591693330824,75.8528452224104,"Si_sum_Ba",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Si_sum_K",-2.21532091097308,73.6375243114374,75.8528452224104,"Si_sum_K",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Mg_sum_Ba",-2.2193675889328,73.6334776334776,75.8528452224104,"Mg_sum_Ba",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Si_sum_Ca",-2.25889328063241,73.593951941778,75.8528452224104,"Si_sum_Ca",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Al_div_K",-2.25889328063241,73.593951941778,75.8528452224104,"Al_div_K",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Mg_sum_K",-2.30434782608695,73.5484973963235,75.8528452224104,"Mg_sum_K",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"K_sum_Ba",-2.30434782608695,73.5484973963235,75.8528452224104,"K_sum_Ba",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Mg_mult_Fe",-2.30434782608695,73.5484973963235,75.8528452224104,"Mg_mult_Fe",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Mg_div_Fe",-2.31444883618795,73.5383963862225,75.8528452224104,"Mg_div_Fe",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Mg_diff_Si",-2.32411067193675,73.5287345504737,75.8528452224104,"Mg_diff_Si",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"RI_div_Fe",-2.69367588932805,73.1591693330824,75.8528452224104,"RI_div_Fe",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Al_sum_Ba",-2.71127423301336,73.1415709893971,75.8528452224104,"Al_sum_Ba",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Na_diff_Si",-2.7193675889328,73.1334776334776,75.8528452224104,"Na_diff_Si",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Mg_diff_K",-2.75889328063241,73.093951941778,75.8528452224104,"Mg_diff_K",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"Mg_sum_Ca",-2.78053830227742,73.072306920133,75.8528452224104,"Mg_sum_Ca",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
"RI_div_K",-4.08300395256917,71.7698412698413,75.8528452224104,"RI_div_K",0,0.00467289719626168,0,0.166666666666667,0.13898760091093,214,1,0,0,6,214,1,NA
